epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,56418.2,0.8464,0.87912,0.96753,0.63323,0.70132,0.71583,0.5536,0.84521,0.98207,1.02954,0.003895,0.003895,0.003895
187,56696,0.85869,0.88412,0.97385,0.63241,0.70187,0.7137,0.5517,0.84378,0.98291,1.02925,0.003862,0.003862,0.003862
188,56970.7,0.84021,0.87912,0.96641,0.63262,0.70707,0.71379,0.55107,0.84265,0.97547,1.02975,0.003829,0.003829,0.003829
189,57244.1,0.8446,0.89404,0.96598,0.63626,0.7104,0.71456,0.55162,0.84502,0.97449,1.0305,0.003796,0.003796,0.003796
190,57517.1,0.8438,0.89024,0.97007,0.64183,0.7023,0.7137,0.55088,0.8485,0.98028,1.03322,0.003763,0.003763,0.003763
191,57790.1,0.84577,0.87877,0.96936,0.63397,0.70929,0.71461,0.55226,0.84839,0.98448,1.03167,0.00373,0.00373,0.00373
192,58066.3,0.84952,0.87094,0.9697,0.63127,0.71711,0.71523,0.55249,0.8478,0.98768,1.03044,0.003697,0.003697,0.003697
193,58342.5,0.8437,0.87781,0.96598,0.63188,0.71205,0.71594,0.55384,0.84787,0.98864,1.02998,0.003664,0.003664,0.003664
194,58617,0.84546,0.87018,0.97093,0.64113,0.69884,0.71685,0.5543,0.85053,0.98983,1.03096,0.003631,0.003631,0.003631
195,58893.3,0.84988,0.87628,0.96361,0.63658,0.7038,0.71705,0.55409,0.85067,0.99238,1.02982,0.003598,0.003598,0.003598
196,59170.8,0.83795,0.84615,0.96394,0.63379,0.70407,0.71659,0.55343,0.84998,0.9996,1.02967,0.003565,0.003565,0.003565
197,59448.6,0.85653,0.86198,0.96952,0.64905,0.69428,0.71632,0.55361,0.85082,1.00191,1.03008,0.003532,0.003532,0.003532
198,59725.5,0.84184,0.86232,0.96633,0.64482,0.70352,0.717,0.55375,0.85013,0.99942,1.03019,0.003499,0.003499,0.003499
199,60003,0.84665,0.86006,0.96727,0.63651,0.70572,0.71645,0.55399,0.85056,1.00349,1.03019,0.003466,0.003466,0.003466
200,60280.3,0.84147,0.83756,0.96089,0.63486,0.7115,0.71653,0.55442,0.85089,1.00465,1.03001,0.003433,0.003433,0.003433
201,60561,0.84012,0.82839,0.96809,0.62832,0.72065,0.71745,0.55467,0.84946,1.00836,1.02916,0.0034,0.0034,0.0034
