epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15109.4,0.93157,1.17813,1.00073,0.59195,0.69582,0.67124,0.50843,0.8768,1.05919,1.0383,0.008614,0.008614,0.008614
44,15385.6,0.9266,1.19169,0.99485,0.60448,0.69985,0.68512,0.51939,0.87295,1.02861,1.03677,0.008581,0.008581,0.008581
45,15661.9,0.92425,1.19764,0.99158,0.58371,0.70022,0.67645,0.51624,0.86592,1.03889,1.02737,0.008548,0.008548,0.008548
46,15937.7,0.9265,1.19822,0.99322,0.58548,0.72057,0.69087,0.5214,0.8863,1.0189,1.04265,0.008515,0.008515,0.008515
47,16212.7,0.92438,1.18368,0.99391,0.59227,0.71592,0.68438,0.52308,0.86892,1.02098,1.03732,0.008482,0.008482,0.008482
48,16486.2,0.92608,1.15886,0.99235,0.61255,0.71657,0.69099,0.52915,0.86264,1.00087,1.03165,0.008449,0.008449,0.008449
49,16761.4,0.92456,1.20939,0.99144,0.59305,0.68674,0.67525,0.51294,0.86555,1.03742,1.0328,0.008416,0.008416,0.008416
50,17036.9,0.92306,1.19222,0.98731,0.58764,0.69664,0.66778,0.50843,0.86856,1.0418,1.03164,0.008383,0.008383,0.008383
51,17312.9,0.90935,1.15598,0.98801,0.59823,0.69576,0.67484,0.51319,0.86777,1.02323,1.04005,0.00835,0.00835,0.00835
52,17589.4,0.91771,1.16291,0.99109,0.59156,0.69664,0.68776,0.5224,0.86328,1.02409,1.04139,0.008317,0.008317,0.008317
53,17866.9,0.91926,1.15418,0.998,0.60195,0.69914,0.68693,0.52316,0.86854,1.051,1.03993,0.008284,0.008284,0.008284
54,18144.5,0.91994,1.16254,0.99085,0.59556,0.70765,0.67975,0.51901,0.87492,1.01311,1.04442,0.008251,0.008251,0.008251
55,18421.2,0.90872,1.15649,0.99202,0.57098,0.68784,0.66935,0.51133,0.86411,1.00495,1.03756,0.008218,0.008218,0.008218
56,18698.2,0.91027,1.13556,0.99557,0.5937,0.70128,0.68931,0.52511,0.86239,1.01793,1.0336,0.008185,0.008185,0.008185
57,18971,0.91884,1.17673,0.99296,0.57465,0.70737,0.67801,0.51714,0.87511,1.03448,1.04203,0.008152,0.008152,0.008152
58,19245.3,0.9185,1.15457,0.99091,0.59054,0.70572,0.68112,0.52049,0.87036,1.0092,1.03659,0.008119,0.008119,0.008119
59,19517.1,0.91662,1.13155,0.99332,0.61176,0.69774,0.69617,0.53106,0.86431,1.01138,1.03318,0.008086,0.008086,0.008086
60,19788.5,0.9112,1.14614,0.98791,0.6013,0.70875,0.68488,0.52668,0.86687,1.02603,1.03755,0.008053,0.008053,0.008053
61,20067,0.91296,1.14401,0.98919,0.58988,0.71975,0.68746,0.52449,0.86489,1.00227,1.03976,0.00802,0.00802,0.00802
62,20345.2,0.91679,1.14603,0.99378,0.60819,0.69857,0.69062,0.52926,0.86124,0.99746,1.03789,0.007987,0.007987,0.007987
